"","page_number","word"
"1",1,"r"
"2",1,"l"
"3",1,"yea"
"4",1,"fisca"
"5",1,"farewell"
"6",1,"to"
"7",1,"photo"
"8",1,"by"
"9",1,"briana"
"10",1,"brough"
"11",1,"durham"
"12",1,"magazine"
"13",1,"mayor"
"14",1,"bell"
"15",1,"city"
"16",1,"of"
"17",1,"durham"
"18",1,"budget"
"19",2,"city"
"20",2,"of"
"21",2,"durham"
"22",2,"north"
"23",2,"carolina"
"24",2,"budget"
"25",2,"fiscal"
"26",2,"year"
"27",2,"durham"
"28",2,"where"
"29",2,"great"
"30",2,"things"
"31",2,"happen"
"32",3,"city"
"33",3,"vision"
"34",3,"statement"
"35",3,"durham"
"36",3,"is"
"37",3,"the"
"38",3,"leading"
"39",3,"city"
"40",3,"in"
"41",3,"providing"
"42",3,"an"
"43",3,"excellent"
"44",3,"and"
"45",3,"sustainable"
"46",3,"quality"
"47",3,"of"
"48",3,"life"
"49",3,"city"
"50",3,"mission"
"51",3,"statement"
"52",3,"to"
"53",3,"provide"
"54",3,"quality"
"55",3,"services"
"56",3,"to"
"57",3,"make"
"58",3,"durham"
"59",3,"a"
"60",3,"great"
"61",3,"place"
"62",3,"to"
"63",3,"live"
"64",3,"work"
"65",3,"and"
"66",3,"play"
"67",3,"council"
"68",3,"goals"
"69",3,"strong"
"70",3,"and"
"71",3,"diverse"
"72",3,"economy"
"73",3,"safe"
"74",3,"and"
"75",3,"secure"
"76",3,"community"
"77",3,"thriving"
"78",3,"livable"
"79",3,"neighborhoods"
"80",3,"innovative"
"81",3,"high"
"82",3,"performing"
"83",3,"organization"
"84",3,"stewardship"
"85",3,"of"
"86",3,"citys"
"87",3,"physical"
"88",3,"and"
"89",3,"environmental"
"90",3,"assets"
"91",3,"about"
"92",3,"the"
"93",3,"cover"
"94",3,"william"
"95",3,"v"
"96",3,"bill"
"97",3,"bell"
"98",3,"stepped"
"99",3,"into"
"100",3,"durham"
"101",3,"politics"
"102",3,"years"
"103",3,"ago"
"104",3,"he"
"105",3,"wanted"
"106",3,"to"
"107",3,"maximize"
"108",3,"durhams"
"109",3,"economy"
"110",3,"education"
"111",3,"and"
"112",3,"other"
"113",3,"resources"
"114",3,"believing"
"115",3,"that"
"116",3,"government"
"117",3,"best"
"118",3,"serves"
"119",3,"citizens"
"120",3,"by"
"121",3,"partnering"
"122",3,"with"
"123",3,"them"
"124",3,"and"
"125",3,"the"
"126",3,"private"
"127",3,"sector"
"128",3,"mayor"
"129",3,"bell"
"130",3,"a"
"131",3,"retired"
"132",3,"ibm"
"133",3,"senior"
"134",3,"engineer"
"135",3,"and"
"136",3,"currently"
"137",3,"the"
"138",3,"executive"
"139",3,"vicepresidentcoo"
"140",3,"of"
"141",3,"udi"
"142",3,"community"
"143",3,"development"
"144",3,"corporation"
"145",3,"udicdc"
"146",3,"served"
"147",3,"as"
"148",3,"an"
"149",3,"elected"
"150",3,"durham"
"151",3,"county"
"152",3,"commissioner"
"153",3,"for"
"154",3,"years"
"155",3,"and"
"156",3,"chairman"
"157",3,"of"
"158",3,"the"
"159",3,"durham"
"160",3,"board"
"161",3,"of"
"162",3,"county"
"163",3,"commissioners"
"164",3,"for"
"165",3,"years"
"166",3,"as"
"167",3,"chairman"
"168",3,"of"
"169",3,"the"
"170",3,"durham"
"171",3,"county"
"172",3,"board"
"173",3,"of"
"174",3,"commissioners"
"175",3,"he"
"176",3,"was"
"177",3,"recognized"
"178",3,"as"
"179",3,"the"
"180",3,"architect"
"181",3,"of"
"182",3,"the"
"183",3,"merger"
"184",3,"of"
"185",3,"the"
"186",3,"then"
"187",3,"durham"
"188",3,"city"
"189",3,"schools"
"190",3,"system"
"191",3,"and"
"192",3,"the"
"193",3,"then"
"194",3,"durham"
"195",3,"county"
"196",3,"school"
"197",3,"system"
"198",3,"into"
"199",3,"the"
"200",3,"now"
"201",3,"durham"
"202",3,"public"
"203",3,"school"
"204",3,"system"
"205",3,"dps"
"206",3,"he"
"207",3,"was"
"208",3,"elected"
"209",3,"mayor"
"210",3,"of"
"211",3,"durham"
"212",3,"nc"
