"","page_number","word","sent_count","sentiment","category"
"1",20,"Budget",31,"Trust","Emotion"
"2",161,"Center",26,"Positive","Sentiment"
"3",161,"Center",26,"Trust","Emotion"
"4",180,"Debt",25,"Negative","Sentiment"
"5",180,"Debt",25,"Sadness","Emotion"
"6",70,"Tax",24,"Negative","Sentiment"
"7",70,"Tax",24,"Sadness","Emotion"
"8",21,"Budget",23,"Trust","Emotion"
"9",63,"Recreation",22,"Anticipation","Emotion"
"10",63,"Recreation",22,"Joy","Emotion"
"11",63,"Recreation",22,"Positive","Sentiment"
"12",71,"Tax",21,"Negative","Sentiment"
"13",71,"Tax",21,"Sadness","Emotion"
"14",142,"Fire",20,"Fear","Emotion"
"15",63,"Resources",18,"Joy","Emotion"
"16",63,"Resources",18,"Positive","Sentiment"
"17",63,"Resources",18,"Trust","Emotion"
"18",143,"Fire",16,"Fear","Emotion"
"19",36,"Debt",15,"Negative","Sentiment"
"20",36,"Debt",15,"Sadness","Emotion"
"21",182,"Council",15,"Anticipation","Emotion"
"22",182,"Bonds",15,"Negative","Sentiment"
"23",182,"Debt",15,"Negative","Sentiment"
"24",182,"Council",15,"Positive","Sentiment"
"25",182,"Debt",15,"Sadness","Emotion"
"26",182,"Council",15,"Trust","Emotion"
"27",24,"Budget",14,"Trust","Emotion"
"28",77,"Utility",14,"Positive","Sentiment"
"29",122,"Public",14,"Anticipation","Emotion"
"30",122,"Public",14,"Positive","Sentiment"
"31",134,"Waste",14,"Disgust","Emotion"
"32",134,"Waste",14,"Negative","Sentiment"
"33",21,"Council",13,"Anticipation","Emotion"
"34",21,"Council",13,"Positive","Sentiment"
"35",21,"Council",13,"Trust","Emotion"
"36",65,"Specialist",13,"Trust","Emotion"
"37",78,"Waste",13,"Disgust","Emotion"
"38",78,"Waste",13,"Negative","Sentiment"
"39",106,"Public",13,"Anticipation","Emotion"
"40",106,"Public",13,"Positive","Sentiment"
"41",181,"Council",13,"Anticipation","Emotion"
"42",181,"Council",13,"Positive","Sentiment"
"43",181,"Council",13,"Trust","Emotion"
"44",6,"Council",12,"Anticipation","Emotion"
"45",6,"Council",12,"Positive","Sentiment"
"46",6,"Council",12,"Trust","Emotion"
"47",30,"Population",12,"Positive","Sentiment"
"48",78,"Solid",12,"Positive","Sentiment"
"49",111,"Planning",12,"Anticipation","Emotion"
"50",111,"Planning",12,"Positive","Sentiment"
"51",111,"Planning",12,"Trust","Emotion"
