"","page_number","word","sent_count","sentiment","category"
"1",172,"Sewer",25,"Disgust","Emotion"
"2",9,"Budget",24,"Trust","Emotion"
"3",197,"Budget",21,"Trust","Emotion"
"4",176,"Fee",20,"Anger","Emotion"
"5",176,"Fee",20,"Negative","Sentiment"
"6",77,"Planning",18,"Anticipation","Emotion"
"7",77,"Planning",18,"Positive","Sentiment"
"8",77,"Planning",18,"Trust","Emotion"
"9",186,"Fee",18,"Anger","Emotion"
"10",186,"Fee",18,"Negative","Sentiment"
"11",17,"Tax",16,"Negative","Sentiment"
"12",17,"Tax",16,"Sadness","Emotion"
"13",18,"Budget",15,"Trust","Emotion"
"14",44,"Tax",15,"Negative","Sentiment"
"15",44,"Tax",15,"Sadness","Emotion"
"16",112,"Budget",15,"Trust","Emotion"
"17",113,"Tax",15,"Negative","Sentiment"
"18",113,"Tax",15,"Sadness","Emotion"
"19",152,"Debt",15,"Negative","Sentiment"
"20",152,"Debt",15,"Sadness","Emotion"
"21",175,"Fee",15,"Anger","Emotion"
"22",175,"Fee",15,"Negative","Sentiment"
"23",33,"Center",14,"Positive","Sentiment"
"24",33,"Center",14,"Trust","Emotion"
"25",78,"Planning",14,"Anticipation","Emotion"
"26",78,"Planning",14,"Positive","Sentiment"
"27",78,"Planning",14,"Trust","Emotion"
"28",171,"Main",14,"Positive","Sentiment"
"29",181,"Fee",14,"Anger","Emotion"
"30",181,"Fee",14,"Negative","Sentiment"
"31",197,"Council",13,"Anticipation","Emotion"
"32",197,"Council",13,"Positive","Sentiment"
"33",197,"Council",13,"Trust","Emotion"
"34",9,"Council",12,"Anticipation","Emotion"
"35",9,"Council",12,"Positive","Sentiment"
"36",9,"Council",12,"Trust","Emotion"
"37",21,"Budget",12,"Trust","Emotion"
"38",30,"Increase",12,"Positive","Sentiment"
"39",143,"Grant",12,"Anticipation","Emotion"
"40",143,"Grant",12,"Joy","Emotion"
"41",143,"Grant",12,"Positive","Sentiment"
"42",143,"Grant",12,"Trust","Emotion"
"43",179,"Fee",12,"Anger","Emotion"
"44",179,"Fee",12,"Negative","Sentiment"
"45",11,"Budget",11,"Trust","Emotion"
"46",18,"General",11,"Positive","Sentiment"
"47",18,"General",11,"Trust","Emotion"
"48",26,"General",11,"Positive","Sentiment"
"49",26,"General",11,"Trust","Emotion"
"50",32,"Increase",11,"Positive","Sentiment"
"51",33,"Tax",11,"Negative","Sentiment"
"52",33,"Tax",11,"Sadness","Emotion"
"53",60,"Crime",11,"Anger","Emotion"
"54",60,"Crime",11,"Negative","Sentiment"
"55",62,"Fire",11,"Fear","Emotion"
"56",65,"Waste",11,"Disgust","Emotion"
"57",65,"Waste",11,"Negative","Sentiment"
"58",91,"Council",11,"Anticipation","Emotion"
"59",91,"Council",11,"Positive","Sentiment"
"60",91,"Council",11,"Trust","Emotion"
"61",175,"Regulatory",11,"Fear","Emotion"
"62",175,"Regulatory",11,"Negative","Sentiment"
"63",6,"Debt",10,"Negative","Sentiment"
"64",6,"Debt",10,"Sadness","Emotion"
"65",7,"Plan",10,"Anticipation","Emotion"
"66",11,"General",10,"Positive","Sentiment"
"67",11,"General",10,"Trust","Emotion"
"68",24,"Plan",10,"Anticipation","Emotion"
"69",26,"Tax",10,"Negative","Sentiment"
"70",26,"Tax",10,"Sadness","Emotion"
"71",30,"Budget",10,"Trust","Emotion"
"72",31,"Increase",10,"Positive","Sentiment"
"73",56,"Small",10,"Negative","Sentiment"
"74",96,"Budget",10,"Trust","Emotion"
"75",111,"Budget",10,"Trust","Emotion"
"76",170,"Storm",10,"Anger","Emotion"
"77",170,"Storm",10,"Negative","Sentiment"
"78",29,"Sewer",9,"Disgust","Emotion"
"79",31,"Airport",9,"Anticipation","Emotion"
"80",64,"Fire",9,"Fear","Emotion"
"81",74,"Management",9,"Positive","Sentiment"
"82",74,"Management",9,"Trust","Emotion"
"83",81,"Airport",9,"Anticipation","Emotion"
"84",81,"Passenger",9,"Anticipation","Emotion"
"85",110,"Budget",9,"Trust","Emotion"
"86",147,"Increase",9,"Positive","Sentiment"
"87",168,"Terminal",9,"Fear","Emotion"
"88",168,"Terminal",9,"Negative","Sentiment"
"89",168,"Terminal",9,"Sadness","Emotion"
"90",197,"Plan",9,"Anticipation","Emotion"
"91",11,"Plan",8,"Anticipation","Emotion"
"92",18,"Increase",8,"Positive","Sentiment"
"93",34,"Tax",8,"Negative","Sentiment"
"94",34,"Tax",8,"Sadness","Emotion"
"95",45,"Plan",8,"Anticipation","Emotion"
"96",49,"Fire",8,"Fear","Emotion"
"97",72,"Neighborhood",8,"Anticipation","Emotion"
"98",75,"Storm",8,"Anger","Emotion"
"99",75,"Storm",8,"Negative","Sentiment"
"100",106,"County",8,"Trust","Emotion"
"101",121,"Tax",8,"Negative","Sentiment"
"102",121,"Tax",8,"Sadness","Emotion"
"103",165,"Neighborhood",8,"Anticipation","Emotion"
"104",175,"Fully",8,"Positive","Sentiment"
"105",175,"Fully",8,"Trust","Emotion"
"106",185,"Fire",8,"Fear","Emotion"
"107",199,"Plan",8,"Anticipation","Emotion"
"108",199,"Budget",8,"Trust","Emotion"
"109",200,"Budget",8,"Trust","Emotion"
"110",5,"Plan",7,"Anticipation","Emotion"
"111",11,"Tax",7,"Negative","Sentiment"
"112",11,"Increase",7,"Positive","Sentiment"
"113",11,"Tax",7,"Sadness","Emotion"
"114",17,"General",7,"Positive","Sentiment"
"115",17,"General",7,"Trust","Emotion"
"116",21,"General",7,"Positive","Sentiment"
"117",21,"General",7,"Trust","Emotion"
"118",24,"Budget",7,"Trust","Emotion"
"119",25,"Plan",7,"Anticipation","Emotion"
"120",26,"Increase",7,"Positive","Sentiment"
