"","page_number","word"
"1",1,"adopted"
"2",1,"fy"
"3",1,"fy"
"4",1,"strategic"
"5",1,"operating"
"6",1,"plan"
"7",1,"and"
"8",1,"fy"
"9",1,"capital"
"10",1,"investment"
"11",1,"plan"
"12",3,"mayor"
"13",3,"anthony"
"14",3,"foxx"
"15",3,"mayor"
"16",3,"pro"
"17",3,"tem"
"18",3,"patrick"
"19",3,"cannon"
"20",3,"city"
"21",3,"council"
"22",3,"michael"
"23",3,"d"
"24",3,"barnes"
"25",3,"dr"
"26",3,"jason"
"27",3,"burgess"
"28",3,"nancy"
"29",3,"carter"
"30",3,"warren"
"31",3,"cooksey"
"32",3,"andy"
"33",3,"dulin"
"34",3,"david"
"35",3,"l"
"36",3,"howard"
"37",3,"patsy"
"38",3,"kinsey"
"39",3,"james"
"40",3,"mitchell"
"41",3,"jr"
"42",3,"edwin"
"43",3,"peacock"
"44",3,"iii"
"45",3,"warren"
"46",3,"turner"
"47",3,"adopted"
"48",3,"fy"
"49",3,"fy"
"50",3,"strategic"
"51",3,"operating"
"52",3,"plan"
"53",3,"and"
"54",3,"fy"
"55",3,"capital"
"56",3,"investment"
"57",3,"plan"
"58",5,"table"
"59",5,"of"
"60",5,"contents"
"61",5,"readers"
"62",5,"guide"
"63",5,"i"
"64",5,"budget"
"65",5,"process"
"66",5,"iii"
"67",5,"executive"
"68",5,"summary"
"69",5,"managers"
"70",5,"transmittal"
"71",5,"letteradopted"
"72",5,"budget"
"73",5,"managers"
"74",5,"transmittal"
"75",5,"letterrecommended"
"76",5,"budget"
"77",5,"capital"
"78",5,"investment"
"79",5,"plan"
"80",5,"resolution"
"81",5,"organizational"
"82",5,"chart"
"83",5,"introduction"
"84",5,"council"
"85",5,"focus"
"86",5,"areas"
"87",5,"general"
"88",5,"fund"
"89",5,"overview"
"90",5,"general"
"91",5,"fund"
"92",5,"decreasesincreases"
"93",5,"by"
"94",5,"council"
"95",5,"focus"
"96",5,"area"
"97",5,"financial"
"98",5,"partners"
"99",5,"employee"
"100",5,"compensation"
"101",5,"revenuesgeneral"
"102",5,"fund"
"103",5,"revenueneutral"
"104",5,"tax"
"105",5,"rate"
"106",5,"calculation"
"107",5,"nongeneral"
"108",5,"fund"
"109",5,"summary"
"110",5,"enterprise"
"111",5,"funds"
"112",5,"other"
"113",5,"operating"
"114",5,"funds"
"115",5,"capital"
"116",5,"investment"
"117",5,"plansummary"
"118",5,"citywide"
"119",5,"budget"
"120",5,"and"
"121",5,"personnel"
"122",5,"summaries"
"123",5,"corporate"
"124",5,"strategy"
"125",5,"and"
"126",5,"priorities"
"127",5,"city"
"128",5,"strategy"
"129",5,"strategic"
"130",5,"focus"
"131",5,"areas"
"132",5,"operating"
"133",5,"budgets"
"134",5,"general"
"135",5,"fund"
"136",5,"operation"
"137",5,"police"
"138",5,"fire"
"139",5,"solid"
"140",5,"waste"
"141",5,"transportation"
"142",5,"neighborhood"
"143",5,"business"
"144",5,"services"
"145",5,"engineering"
"146",5,"property"
"147",5,"management"
"148",5,"charlottemecklenburg"
"149",5,"planning"
"150",5,"enterprise"
"151",5,"operations"
"152",5,"aviation"
"153",5,"charlotte"
"154",5,"area"
"155",5,"transit"
"156",5,"system"
"157",5,"charlottemecklenburg"
"158",5,"utilities"
"159",5,"support"
"160",5,"businesses"
"161",5,"mayor"
"162",5,"and"
"163",5,"city"
"164",5,"council"
"165",5,"city"
"166",5,"attorney"
"167",5,"city"
"168",5,"clerk"
"169",5,"city"
"170",5,"manager"
"171",5,"budget"
"172",5,"and"
"173",5,"evaluation"
"174",5,"business"
"175",5,"support"
"176",5,"services"
"177",5,"finance"
"178",5,"human"
"179",5,"resources"
"180",5,"nondepartmental"
"181",5,"accounts"
"182",5,"general"
"183",5,"fund"
"184",5,"financial"
"185",5,"partners"
"186",5,"housing"
"187",5,"related"
"188",5,"after"
"189",5,"school"
"190",5,"enrichment"
"191",5,"crisis"
"192",5,"assistance"
"193",5,"and"
"194",5,"community"
"195",5,"development"
"196",5,"partners"
"197",5,"municipal"
"198",5,"service"
"199",5,"districts"
"200",5,"synthetic"
"201",5,"tax"
"202",5,"increment"
"203",5,"financing"
"204",5,"summary"
"205",5,"statistics"
"206",5,"and"
"207",5,"schedules"
"208",5,"city"
"209",5,"profile"
"210",5,"citywide"
"211",5,"summary"
"212",5,"of"
"213",5,"tax"
"214",5,"levies"
"215",5,"summary"
"216",5,"of"
"217",5,"position"
"218",5,"allocations"
"219",5,"summary"
"220",5,"of"
"221",5,"expenditures"
"222",6,"table"
"223",6,"of"
"224",6,"contents"
"225",6,"general"
"226",6,"fund"
"227",6,"summary"
"228",6,"of"
"229",6,"expenditures"
"230",6,"summary"
"231",6,"of"
"232",6,"revenues"
"233",6,"aviation"
"234",6,"summary"
"235",6,"of"
"236",6,"revenues"
"237",6,"and"
"238",6,"expenditures"
"239",6,"water"
"240",6,"and"
"241",6,"sewer"
"242",6,"fund"
"243",6,"summary"
"244",6,"of"
"245",6,"revenues"
"246",6,"and"
"247",6,"expenditures"
"248",6,"charlotte"
"249",6,"area"
"250",6,"transit"
"251",6,"cats"
"252",6,"fund"
"253",6,"summary"
"254",6,"of"
"255",6,"revenues"
"256",6,"and"
"257",6,"expenditures"
"258",6,"storm"
"259",6,"water"
"260",6,"fund"
"261",6,"summary"
"262",6,"of"
"263",6,"revenues"
"264",6,"and"
"265",6,"expenditures"
"266",6,"debt"
"267",6,"service"
"268",6,"municipal"
"269",6,"debt"
"270",6,"service"
"271",6,"fund"
