,page_number,word,organization
227,7,total,Charlotte City
228,7,all,Charlotte City
229,7,funds,Charlotte City
230,7,general,Charlotte City
231,7,fund,Charlotte City
232,7,adjustments,Charlotte City
233,7,through,Charlotte City
234,7,the,Charlotte City
235,7,budget,Charlotte City
236,7,adjustments,Charlotte City
237,7,process,Charlotte City
238,7,funding,Charlotte City
239,7,available,Charlotte City
240,7,within,Charlotte City
241,7,the,Charlotte City
242,7,general,Charlotte City
243,7,fund,Charlotte City
244,7,undesignated,Charlotte City
245,7,balance,Charlotte City
246,7,allowed,Charlotte City
247,7,for,Charlotte City
248,7,in,Charlotte City
249,7,onetime,Charlotte City
250,7,funding,Charlotte City
251,7,to,Charlotte City
252,7,be,Charlotte City
253,7,designated,Charlotte City
254,7,to,Charlotte City
255,7,the,Charlotte City
256,7,womens,Charlotte City
257,7,business,Charlotte City
258,7,center,Charlotte City
259,7,of,Charlotte City
260,7,charlotte,Charlotte City
261,7,i,Charlotte City
262,7,page,Charlotte City
263,9,may,Charlotte City
264,9,honorable,Charlotte City
265,9,mayor,Charlotte City
266,9,and,Charlotte City
267,9,city,Charlotte City
268,9,council,Charlotte City
269,9,city,Charlotte City
270,9,of,Charlotte City
271,9,charlotte,Charlotte City
272,9,north,Charlotte City
273,9,carolina,Charlotte City
274,9,i,Charlotte City
275,9,respectfully,Charlotte City
276,9,submit,Charlotte City
277,9,to,Charlotte City
278,9,you,Charlotte City
279,9,the,Charlotte City
280,9,proposed,Charlotte City
281,9,fiscal,Charlotte City
282,9,year,Charlotte City
283,9,fy,Charlotte City
284,9,budget,Charlotte City
285,9,for,Charlotte City
286,9,the,Charlotte City
287,9,city,Charlotte City
288,9,of,Charlotte City
289,9,charlotte,Charlotte City
290,9,the,Charlotte City
291,9,proposed,Charlotte City
292,9,budget,Charlotte City
293,9,is,Charlotte City
294,9,composed,Charlotte City
295,9,of,Charlotte City
296,9,the,Charlotte City
297,9,general,Charlotte City
298,9,fund,Charlotte City
299,9,enterprise,Charlotte City
300,9,funds,Charlotte City
301,9,capital,Charlotte City
302,9,funds,Charlotte City
303,9,internal,Charlotte City
304,9,service,Charlotte City
305,9,funds,Charlotte City
306,9,and,Charlotte City
307,9,special,Charlotte City
308,9,revenue,Charlotte City
309,9,funds,Charlotte City
310,9,for,Charlotte City
311,9,a,Charlotte City
312,9,total,Charlotte City
313,9,of,Charlotte City
314,9,billion,Charlotte City
315,9,net,Charlotte City
316,9,of,Charlotte City
317,9,transfers,Charlotte City
318,9,a,Charlotte City
319,9,summary,Charlotte City
320,9,of,Charlotte City
321,9,the,Charlotte City
322,9,proposed,Charlotte City
323,9,budget,Charlotte City
324,9,is,Charlotte City
325,9,outlined,Charlotte City
326,9,in,Charlotte City
327,9,the,Charlotte City
328,9,following,Charlotte City
329,9,table,Charlotte City
330,9,proposed,Charlotte City
331,9,fy,Charlotte City
332,9,budget,Charlotte City
333,9,net,Charlotte City
334,9,of,Charlotte City
335,9,transfers,Charlotte City
336,9,general,Charlotte City
337,9,fund,Charlotte City
338,9,transfer,Charlotte City
339,9,to,Charlotte City
340,9,other,Charlotte City
341,9,funds,Charlotte City
342,9,subtotal,Charlotte City
343,9,general,Charlotte City
344,9,fund,Charlotte City
345,9,aviation,Charlotte City
346,9,charlotte,Charlotte City
347,9,area,Charlotte City
348,9,transit,Charlotte City
349,9,system,Charlotte City
350,9,cats,Charlotte City
351,9,charlotte,Charlotte City
352,9,water,Charlotte City
353,9,storm,Charlotte City
354,9,water,Charlotte City
355,9,subtotal,Charlotte City
356,9,nongeneral,Charlotte City
357,9,funds,Charlotte City
358,9,general,Charlotte City
359,9,community,Charlotte City
360,9,investment,Charlotte City
361,9,plan,Charlotte City
362,9,general,Charlotte City
363,9,capital,Charlotte City
364,9,debt,Charlotte City
365,9,service,Charlotte City
366,9,payasyougo,Charlotte City
367,9,funds,Charlotte City
368,9,subtotal,Charlotte City
369,9,capital,Charlotte City
370,9,investments,Charlotte City
371,9,debt,Charlotte City
372,9,service,Charlotte City
373,9,nongeneral,Charlotte City
374,9,funds,Charlotte City
375,9,special,Charlotte City
376,9,revenue,Charlotte City
377,9,and,Charlotte City
378,9,internal,Charlotte City
379,9,service,Charlotte City
380,9,funds,Charlotte City
381,9,total,Charlotte City
382,9,all,Charlotte City
383,9,funds,Charlotte City
384,9,the,Charlotte City
385,9,proposed,Charlotte City
386,9,fy,Charlotte City
387,9,budget,Charlotte City
388,9,continues,Charlotte City
389,9,the,Charlotte City
390,9,unification,Charlotte City
391,9,and,Charlotte City
392,9,efficiency,Charlotte City
393,9,efforts,Charlotte City
394,9,the,Charlotte City
395,9,city,Charlotte City
396,9,is,Charlotte City
397,9,undergoing,Charlotte City
398,9,last,Charlotte City
399,9,years,Charlotte City
400,9,budget,Charlotte City
401,9,signaled,Charlotte City
402,9,the,Charlotte City
403,9,end,Charlotte City
404,9,of,Charlotte City
405,9,run,Charlotte City
406,9,your,Charlotte City
407,9,business,Charlotte City
408,9,we,Charlotte City
409,9,are,Charlotte City
410,9,becoming,Charlotte City
411,9,a,Charlotte City
412,9,more,Charlotte City
413,9,collaborative,Charlotte City
414,9,responsive,Charlotte City
415,9,organization,Charlotte City
416,9,focused,Charlotte City
417,9,on,Charlotte City
418,9,providing,Charlotte City
419,9,the,Charlotte City
420,9,highest,Charlotte City
421,9,quality,Charlotte City
422,9,services,Charlotte City
423,9,possible,Charlotte City
424,9,in,Charlotte City
425,9,a,Charlotte City
426,9,cost,Charlotte City
427,9,effective,Charlotte City
428,9,and,Charlotte City
429,9,accountable,Charlotte City
430,9,manner,Charlotte City
431,9,to,Charlotte City
432,9,continue,Charlotte City
433,9,to,Charlotte City
434,9,move,Charlotte City
435,9,the,Charlotte City
436,9,city,Charlotte City
437,9,forward,Charlotte City
438,9,the,Charlotte City
439,9,proposed,Charlotte City
440,9,fy,Charlotte City
441,9,budget,Charlotte City
442,9,focuses,Charlotte City
443,9,on,Charlotte City
444,9,four,Charlotte City
445,9,new,Charlotte City
446,9,strategic,Charlotte City
447,9,priorities,Charlotte City
448,9,economic,Charlotte City
449,9,development,Charlotte City
450,9,neighborhood,Charlotte City
451,9,development,Charlotte City
452,9,transportation,Charlotte City
453,9,and,Charlotte City
454,9,planning,Charlotte City
455,9,and,Charlotte City
456,9,well,Charlotte City
457,9,managed,Charlotte City
458,9,government,Charlotte City
459,9,iii,Charlotte City
460,9,p,Charlotte City
461,9,a,Charlotte City
462,9,g,Charlotte City
463,9,e,Charlotte City
464,10,the,Charlotte City
465,10,proposed,Charlotte City
466,10,fy,Charlotte City
467,10,general,Charlotte City
468,10,fund,Charlotte City
469,10,budget,Charlotte City
470,10,is,Charlotte City
471,10,million,Charlotte City
472,10,a,Charlotte City
473,10,percent,Charlotte City
474,10,or,Charlotte City
475,10,million,Charlotte City
476,10,increase,Charlotte City
477,10,over,Charlotte City
478,10,last,Charlotte City
479,10,year,Charlotte City
480,10,the,Charlotte City
481,10,total,Charlotte City
482,10,budget,Charlotte City
483,10,is,Charlotte City
484,10,billion,Charlotte City
485,10,and,Charlotte City
486,10,supports,Charlotte City
487,10,initiatives,Charlotte City
488,10,that,Charlotte City
489,10,increase,Charlotte City
490,10,our,Charlotte City
491,10,capacity,Charlotte City
492,10,to,Charlotte City
493,10,achieve,Charlotte City
494,10,great,Charlotte City
495,10,things,Charlotte City
496,10,in,Charlotte City
497,10,our,Charlotte City
498,10,communities,Charlotte City
499,10,highlights,Charlotte City
500,10,of,Charlotte City
501,10,the,Charlotte City
502,10,budget,Charlotte City
503,10,include,Charlotte City
504,10,no,Charlotte City
505,10,property,Charlotte City
506,10,tax,Charlotte City
507,10,increases,Charlotte City
508,10,increases,Charlotte City
509,10,the,Charlotte City
510,10,minimum,Charlotte City
511,10,wage,Charlotte City
512,10,of,Charlotte City
513,10,fulltime,Charlotte City
514,10,city,Charlotte City
515,10,of,Charlotte City
516,10,charlotte,Charlotte City
517,10,employees,Charlotte City
518,10,to,Charlotte City
519,10,per,Charlotte City
520,10,hour,Charlotte City
521,10,provides,Charlotte City
522,10,a,Charlotte City
523,10,three,Charlotte City
524,10,percent,Charlotte City
525,10,merit,Charlotte City
526,10,pool,Charlotte City
527,10,for,Charlotte City
528,10,salaried,Charlotte City
529,10,employees,Charlotte City
530,10,provides,Charlotte City
531,10,a,Charlotte City
532,10,percent,Charlotte City
533,10,market,Charlotte City
534,10,adjustment,Charlotte City
535,10,and,Charlotte City
536,10,percent,Charlotte City
537,10,merit,Charlotte City
538,10,pool,Charlotte City
539,10,for,Charlotte City
540,10,hourly,Charlotte City
541,10,employees,Charlotte City
542,10,enhances,Charlotte City
543,10,the,Charlotte City
544,10,above,Charlotte City
545,10,increases,Charlotte City
546,10,to,Charlotte City
547,10,a,Charlotte City
548,10,per,Charlotte City
549,10,year,Charlotte City
550,10,or,Charlotte City
551,10,per,Charlotte City
552,10,hour,Charlotte City
553,10,minimum,Charlotte City
554,10,for,Charlotte City
555,10,all,Charlotte City
556,10,fulltime,Charlotte City
557,10,general,Charlotte City
558,10,employees,Charlotte City
559,10,earning,Charlotte City
560,10,less,Charlotte City
561,10,than,Charlotte City
562,10,per,Charlotte City
563,10,year,Charlotte City
564,10,enhances,Charlotte City
565,10,public,Charlotte City
566,10,safety,Charlotte City
567,10,employee,Charlotte City
568,10,compensation,Charlotte City
569,10,o,Charlotte City
570,10,an,Charlotte City
571,10,additional,Charlotte City
572,10,five,Charlotte City
573,10,percent,Charlotte City
574,10,pay,Charlotte City
575,10,increase,Charlotte City
576,10,for,Charlotte City
577,10,all,Charlotte City
578,10,police,Charlotte City
579,10,sergeants,Charlotte City
580,10,o,Charlotte City
581,10,an,Charlotte City
582,10,additional,Charlotte City
583,10,five,Charlotte City
584,10,percent,Charlotte City
585,10,pay,Charlotte City
586,10,increase,Charlotte City
587,10,for,Charlotte City
588,10,topstep,Charlotte City
589,10,police,Charlotte City
590,10,officers,Charlotte City
591,10,through,Charlotte City
592,10,the,Charlotte City
593,10,senior,Charlotte City
594,10,police,Charlotte City
595,10,officer,Charlotte City
596,10,program,Charlotte City
597,10,o,Charlotte City
598,10,a,Charlotte City
599,10,percent,Charlotte City
600,10,pay,Charlotte City
601,10,increase,Charlotte City
602,10,for,Charlotte City
603,10,all,Charlotte City
604,10,fire,Charlotte City
605,10,captains,Charlotte City
606,10,and,Charlotte City
607,10,for,Charlotte City
608,10,topstep,Charlotte City
609,10,fire,Charlotte City
610,10,engineers,Charlotte City
611,10,o,Charlotte City
612,10,an,Charlotte City
613,10,additional,Charlotte City
614,10,one,Charlotte City
615,10,percent,Charlotte City
616,10,to,Charlotte City
617,10,the,Charlotte City
618,10,city,Charlotte City
619,10,k,Charlotte City
620,10,contribution,Charlotte City
621,10,for,Charlotte City
622,10,firefighters,Charlotte City
623,10,in,Charlotte City
624,10,january,Charlotte City
625,10,no,Charlotte City
626,10,healthcare,Charlotte City
627,10,premium,Charlotte City
628,10,cost,Charlotte City
629,10,increase,Charlotte City
630,10,for,Charlotte City
631,10,any,Charlotte City
632,10,employee,Charlotte City
633,10,in,Charlotte City
634,10,any,Charlotte City
635,10,plan,Charlotte City
636,10,promotes,Charlotte City
637,10,the,Charlotte City
638,10,creation,Charlotte City
639,10,and,Charlotte City
640,10,preservation,Charlotte City
641,10,of,Charlotte City
642,10,affordable,Charlotte City
643,10,housing,Charlotte City
644,10,by,Charlotte City
645,10,doubling,Charlotte City
646,10,the,Charlotte City
647,10,affordable,Charlotte City
648,10,housing,Charlotte City
649,10,bond,Charlotte City
650,10,allocation,Charlotte City
651,10,from,Charlotte City
652,10,million,Charlotte City
653,10,to,Charlotte City
654,10,million,Charlotte City
655,10,and,Charlotte City
656,10,provides,Charlotte City
657,10,an,Charlotte City
658,10,additional,Charlotte City
659,10,million,Charlotte City
660,10,to,Charlotte City
661,10,support,Charlotte City
662,10,other,Charlotte City
663,10,affordable,Charlotte City
664,10,housing,Charlotte City
665,10,initiatives,Charlotte City
666,10,helps,Charlotte City
667,10,qualifying,Charlotte City
668,10,seniors,Charlotte City
669,10,by,Charlotte City
