,page_number,word,organization
230,4,c,Raleigh City
231,4,appropriations,Raleigh City
232,4,by,Raleigh City
233,4,fund,Raleigh City
234,4,c,Raleigh City
235,4,general,Raleigh City
236,4,fund,Raleigh City
237,4,appropriations,Raleigh City
238,4,by,Raleigh City
239,4,division,Raleigh City
240,4,c,Raleigh City
241,4,general,Raleigh City
242,4,fund,Raleigh City
243,4,appropriations,Raleigh City
244,4,by,Raleigh City
245,4,type,Raleigh City
246,4,c,Raleigh City
247,4,statement,Raleigh City
248,4,on,Raleigh City
249,4,fund,Raleigh City
250,4,balance,Raleigh City
251,4,c,Raleigh City
252,4,position,Raleigh City
253,4,summary,Raleigh City
254,4,c,Raleigh City
255,4,position,Raleigh City
256,4,classification,Raleigh City
257,4,changes,Raleigh City
258,4,c,Raleigh City
259,4,revenue,Raleigh City
260,4,revenue,Raleigh City
261,4,summary,Raleigh City
262,4,d,Raleigh City
263,4,revenue,Raleigh City
264,4,estimates,Raleigh City
265,4,d,Raleigh City
266,4,general,Raleigh City
267,4,government,Raleigh City
268,4,city,Raleigh City
269,4,council,Raleigh City
270,4,e,Raleigh City
271,4,city,Raleigh City
272,4,clerk,Raleigh City
273,4,e,Raleigh City
274,4,city,Raleigh City
275,4,attorney,Raleigh City
276,4,e,Raleigh City
277,4,city,Raleigh City
278,4,manager,Raleigh City
279,4,e,Raleigh City
280,4,office,Raleigh City
281,4,of,Raleigh City
282,4,economic,Raleigh City
283,4,development,Raleigh City
284,4,and,Raleigh City
285,4,innovation,Raleigh City
286,4,e,Raleigh City
287,4,economic,Raleigh City
288,4,development,Raleigh City
289,4,fund,Raleigh City
290,4,e,Raleigh City
291,4,office,Raleigh City
292,4,of,Raleigh City
293,4,emergency,Raleigh City
294,4,management,Raleigh City
295,4,and,Raleigh City
296,4,special,Raleigh City
297,4,events,Raleigh City
298,4,e,Raleigh City
299,4,office,Raleigh City
300,4,of,Raleigh City
301,4,internal,Raleigh City
302,4,audit,Raleigh City
303,4,e,Raleigh City
304,4,office,Raleigh City
305,4,of,Raleigh City
306,4,sustainability,Raleigh City
307,4,e,Raleigh City
308,4,budget,Raleigh City
309,4,management,Raleigh City
310,4,services,Raleigh City
311,4,e,Raleigh City
312,4,communications,Raleigh City
313,4,e,Raleigh City
314,4,finance,Raleigh City
315,4,e,Raleigh City
316,4,risk,Raleigh City
317,4,management,Raleigh City
318,4,fund,Raleigh City
319,4,e,Raleigh City
320,4,human,Raleigh City
