"","page_number","word"
"1",1,"city"
"2",1,"of"
"3",1,"durham"
"4",1,"north"
"5",1,"carolina"
"6",1,"budget"
"7",1,"fiscal"
"8",1,"year"
"9",1,"durham"
"10",1,"where"
"11",1,"great"
"12",1,"things"
"13",1,"happen"
"14",2,"city"
"15",2,"vision"
"16",2,"statement"
"17",2,"durham"
"18",2,"is"
"19",2,"the"
"20",2,"leading"
"21",2,"city"
"22",2,"in"
"23",2,"providing"
"24",2,"an"
"25",2,"excellent"
"26",2,"and"
"27",2,"sustainable"
"28",2,"quality"
"29",2,"of"
"30",2,"life"
"31",2,"city"
"32",2,"mission"
"33",2,"statement"
"34",2,"to"
"35",2,"provide"
"36",2,"quality"
"37",2,"services"
"38",2,"to"
"39",2,"make"
"40",2,"durham"
"41",2,"a"
"42",2,"great"
"43",2,"place"
"44",2,"to"
"45",2,"live"
"46",2,"work"
"47",2,"and"
"48",2,"play"
"49",2,"council"
"50",2,"goals"
"51",2,"strong"
"52",2,"and"
"53",2,"diverse"
"54",2,"economy"
"55",2,"safe"
"56",2,"and"
"57",2,"secure"
"58",2,"community"
"59",2,"thriving"
"60",2,"livable"
"61",2,"neighborhoods"
"62",2,"well"
"63",2,"managed"
"64",2,"city"
"65",2,"stewardship"
"66",2,"of"
"67",2,"citys"
"68",2,"physical"
"69",2,"assets"
"70",2,"about"
"71",2,"the"
"72",2,"cover"
"73",2,"in"
"74",2,"the"
"75",2,"process"
"76",2,"of"
"77",2,"creating"
"78",2,"the"
"79",2,"citys"
"80",2,"strategic"
"81",2,"plan"
"82",2,"in"
"83",2,"april"
"84",2,"and"
"85",2,"the"
"86",2,"countys"
"87",2,"strategic"
"88",2,"plan"
"89",2,"in"
"90",2,"february"
"91",2,"both"
"92",2,"organizations"
"93",2,"discovered"
"94",2,"that"
"95",2,"by"
"96",2,"aligning"
"97",2,"their"
"98",2,"strategic"
"99",2,"plans"
"100",2,"and"
"101",2,"collaborating"
"102",2,"on"
"103",2,"various"
"104",2,"initiatives"
"105",2,"they"
"106",2,"could"
"107",2,"provide"
"108",2,"a"
"109",2,"higher"
"110",2,"level"
"111",2,"of"
"112",2,"service"
"113",2,"delivery"
"114",2,"to"
"115",2,"the"
"116",2,"residents"
"117",2,"of"
"118",2,"durham"
"119",2,"this"
"120",2,"partnership"
"121",2,"has"
"122",2,"greatly"
"123",2,"improved"
"124",2,"communication"
"125",2,"saved"
"126",2,"taxpayer"
"127",2,"dollars"
"128",2,"by"
"129",2,"pooling"
"130",2,"resources"
"131",2,"and"
"132",2,"has"
"133",2,"enabled"
"134",2,"the"
"135",2,"organizations"
"136",2,"to"
"137",2,"more"
"138",2,"effectively"
"139",2,"streamline"
"140",2,"their"
"141",2,"processes"
"142",3,"mayor"
"143",3,"william"
"144",3,"v"
"145",3,"bill"
"146",3,"bell"
"147",3,"city"
"148",3,"council"
"149",3,"eugene"
"150",3,"a"
"151",3,"brown"
"152",3,"diane"
"153",3,"catotti"
"154",3,"howard"
"155",3,"clement"
"156",3,"iii"
"157",3,"cora"
"158",3,"m"
"159",3,"colemcfadden"
"160",3,"don"
"161",3,"l"
"162",3,"moffitt"
"163",3,"steve"
"164",3,"schewel"
"165",3,"city"
"166",3,"managers"
"167",3,"office"
"168",3,"thomas"
"169",3,"j"
"170",3,"bonfield"
"171",3,"city"
"172",3,"manager"
"173",3,"wanda"
"174",3,"page"
"175",3,"deputy"
"176",3,"city"
"177",3,"manager"
"178",3,"keith"
"179",3,"chadwell"
"180",3,"deputy"
"181",3,"city"
"182",3,"manager"
"183",3,"w"
"184",3,"bowman"
"185",3,"ferguson"
"186",3,"deputy"
"187",3,"city"
"188",3,"manager"
"189",3,"budget"
"190",3,"and"
"191",3,"management"
"192",3,"services"
"193",3,"staff"
"194",3,"bertha"
"195",3,"t"
"196",3,"johnson"
"197",3,"director"
"198",3,"budget"
"199",3,"and"
"200",3,"management"
"201",3,"services"
"202",3,"john"
"203",3,"allore"
"204",3,"assistant"
"205",3,"director"
"206",3,"budget"
"207",3,"and"
"208",3,"management"
"209",3,"services"
"210",3,"jim"
"211",3,"reingruber"
"212",3,"corporate"
"213",3,"principal"
"214",3,"budget"
"215",3,"and"
"216",3,"management"
"217",3,"analyst"
"218",3,"christina"
"219",3,"tookes"
"220",3,"corporate"
"221",3,"senior"
"222",3,"budget"
"223",3,"and"
"224",3,"management"
"225",3,"analyst"
"226",3,"melinda"
"227",3,"squiresnelson"
"228",3,"corporate"
"229",3,"senior"
"230",3,"budget"
"231",3,"and"
"232",3,"management"
"233",3,"analyst"
"234",3,"jay"
"235",3,"fullenwider"
"236",3,"corporate"
"237",3,"budget"
"238",3,"and"
"239",3,"management"
"240",3,"specialist"
"241",3,"lisa"
"242",3,"henty"
"243",3,"corporate"
"244",3,"budget"
"245",3,"and"
"246",3,"management"
"247",3,"analyst"
"248",3,"jay"
"249",3,"reinstein"
"250",3,"manager"
"251",3,"strategic"
"252",3,"initiatives"
"253",3,"vickie"
"254",3,"atkinson"
"255",3,"manager"
"256",3,"organizational"
"257",3,"development"
"258",3,"vivienne"
"259",3,"bass"
"260",3,"executive"
"261",3,"assistant"
"262",3,"sonja"
"263",3,"owens"
"264",3,"administrative"
"265",3,"assistant"
"266",3,"cover"
"267",3,"design"
"268",3,"by"
"269",3,"budget"
"270",3,"management"
"271",3,"services"
"272",3,"cynthia"
"273",3,"booth"
"274",3,"durham"
"275",3,"parks"
"276",3,"and"
"277",3,"recreation"
"278",3,"public"
"279",3,"affairs"
"280",3,"printing"
"281",3,"and"
"282",3,"duplication"
"283",3,"by"
"284",3,"the"
"285",3,"print"
"286",3,"shop"
"287",3,"division"
"288",3,"of"
"289",3,"the"
"290",3,"finance"
"291",3,"department"
"292",3,"durham"
"293",3,"where"
"294",3,"great"
"295",3,"things"
"296",3,"happen"
"297",4,"the"
"298",4,"government"
"299",4,"finance"
"300",4,"officers"
"301",4,"association"
"302",4,"of"
"303",4,"the"
"304",4,"united"
"305",4,"states"
"306",4,"and"
"307",4,"canada"
"308",4,"gfoa"
"309",4,"presented"
"310",4,"an"
"311",4,"award"
"312",4,"for"
"313",4,"distinguished"
"314",4,"presentation"
"315",4,"to"
"316",4,"the"
"317",4,"city"
"318",4,"of"
"319",4,"durham"
"320",4,"for"
"321",4,"its"
"322",4,"annual"
"323",4,"budget"
"324",4,"for"
"325",4,"the"
"326",4,"fiscal"
"327",4,"year"
"328",4,"beginning"
"329",4,"july"
"330",4,"in"
"331",4,"order"
"332",4,"to"
"333",4,"receive"
"334",4,"this"
"335",4,"award"
"336",4,"a"
"337",4,"governmental"
"338",4,"unit"
"339",4,"must"
"340",4,"publish"
"341",4,"a"
"342",4,"budget"
"343",4,"document"
"344",4,"that"
"345",4,"meets"
"346",4,"program"
"347",4,"criteria"
"348",4,"as"
"349",4,"a"
"350",4,"policy"
"351",4,"document"
"352",4,"as"
"353",4,"an"
"354",4,"operations"
"355",4,"guide"
"356",4,"as"
"357",4,"a"
"358",4,"financial"
"359",4,"plan"
"360",4,"and"
"361",4,"as"
"362",4,"a"
"363",4,"communications"
"364",4,"device"
"365",4,"the"
"366",4,"award"
"367",4,"is"
"368",4,"valid"
"369",4,"for"
"370",4,"a"
"371",4,"period"
"372",4,"of"
"373",4,"one"
"374",4,"year"
"375",4,"only"
"376",4,"we"
"377",4,"believe"
"378",4,"our"
"379",4,"proposed"
"380",4,"budget"
"381",4,"continues"
"382",4,"to"
"383",4,"conform"
"384",4,"to"
"385",4,"program"
"386",4,"requirements"
"387",4,"and"
"388",4,"we"
"389",4,"are"
"390",4,"submitting"
"391",4,"it"
"392",4,"to"
"393",4,"gfoa"
"394",4,"to"
"395",4,"determine"
"396",4,"its"
"397",4,"eligibility"
"398",4,"for"
"399",4,"another"
"400",4,"award"
"401",5,"bell"
