"","page_number","word"
"1",1,"city"
"2",1,"of"
"3",1,"raleigh"
"4",1,"adopted"
"5",1,"budget"
"6",1,"innovation"
"7",1,"growth"
"8",1,"change"
"9",1,"raleigh"
"10",2,"annual"
"11",2,"budget"
"12",2,"city"
"13",2,"of"
"14",2,"raleigh"
"15",2,"north"
"16",2,"carolina"
"17",2,"fiscal"
"18",2,"year"
"19",2,"beginning"
"20",2,"july"
"21",2,"recommended"
"22",2,"to"
"23",2,"the"
"24",2,"city"
"25",2,"council"
"26",2,"by"
"27",2,"the"
"28",2,"city"
"29",2,"manager"
"30",2,"may"
"31",2,"adopted"
"32",2,"by"
"33",2,"the"
"34",2,"city"
"35",2,"council"
"36",2,"june"
"37",2,"the"
"38",2,"city"
"39",2,"council"
"40",2,"nancy"
"41",2,"mcfarlane"
"42",2,"mayor"
"43",2,"john"
"44",2,"odom"
"45",2,"mayor"
"46",2,"pro"
"47",2,"tem"
"48",2,"maryann"
"49",2,"baldwin"
"50",2,"thomas"
"51",2,"crowder"
"52",2,"bonner"
"53",2,"gaylord"
"54",2,"wayne"
"55",2,"maiorano"
"56",2,"russ"
"57",2,"stephenson"
"58",2,"eugene"
"59",2,"weeks"
"60",2,"executive"
"61",2,"staff"
"62",2,"ruffin"
"63",2,"l"
"64",2,"hall"
"65",2,"city"
"66",2,"manager"
"67",2,"perry"
"68",2,"e"
"69",2,"james"
"70",2,"iii"
"71",2,"chief"
"72",2,"financial"
"73",2,"officer"
"74",2,"joyce"
"75",2,"l"
"76",2,"munro"
"77",2,"budget"
"78",2,"management"
"79",2,"services"
"80",2,"director"
"81",2,"kirsten"
"82",2,"larson"
"83",2,"operating"
"84",2,"budget"
"85",2,"manager"
"86",2,"ben"
"87",2,"canada"
"88",2,"capital"
"89",2,"improvement"
"90",2,"program"
"91",2,"manager"
"92",2,"catherine"
"93",2,"clark"
"94",2,"grants"
"95",2,"program"
"96",2,"administrative"
"97",2,"manager"
"98",2,"alicia"
"99",2,"arnold"
"100",2,"budget"
"101",2,"analyst"
"102",2,"heather"
"103",2,"drennan"
"104",2,"budget"
"105",2,"analyst"
"106",2,"clayton"
"107",2,"hainline"
"108",2,"budget"
"109",2,"analyst"
"110",2,"kathryn"
"111",2,"hertel"
"112",2,"budget"
"113",2,"analyst"
"114",2,"amber"
"115",2,"smith"
"116",2,"budget"
"117",2,"analyst"
"118",3,"the"
"119",3,"following"
"120",3,"individuals"
"121",3,"whose"
"122",3,"assistance"
"123",3,"and"
"124",3,"contributions"
"125",3,"to"
"126",3,"the"
"127",3,"annual"
"128",3,"budget"
"129",3,"development"
"130",3,"process"
"131",3,"are"
"132",3,"immeasurable"
"133",3,"are"
"134",3,"hereby"
"135",3,"acknowledged"
"136",3,"fred"
"137",3,"m"
"138",3,"blackwood"
"139",3,"debt"
"140",3,"manager"
"141",3,"allison"
"142",3,"bradsher"
"143",3,"controller"
"144",3,"david"
"145",3,"p"
"146",3,"erwin"
"147",3,"assistant"
"148",3,"controller"
"149",3,"tyrone"
"150",3,"s"
"151",3,"williamson"
"152",3,"business"
"153",3,"analyst"
"154",3,"cover"
"155",3,"design"
"156",3,"by"
"157",3,"eric"
"158",3,"bannister"
"159",3,"public"
"160",3,"affairs"
"161",3,"department"
"162",4,"table"
"163",4,"of"
"164",4,"contents"
"165",4,"introduction"
"166",4,"adopted"
"167",4,"budget"
"168",4,"message"
"169",4,"a"
"170",4,"proposed"
"171",4,"budget"
"172",4,"message"
"173",4,"a"
"174",4,"introduction"
"175",4,"a"
"176",4,"budget"
"177",4,"and"
"178",4,"fiscal"
"179",4,"framework"
"180",4,"a"
"181",4,"financial"
"182",4,"policies"
"183",4,"a"
"184",4,"budget"
"185",4,"guide"
"186",4,"a"
"187",4,"city"
"188",4,"council"
"189",4,"information"
"190",4,"a"
"191",4,"city"
"192",4,"of"
"193",4,"raleigh"
"194",4,"vision"
"195",4,"a"
"196",4,"city"
"197",4,"of"
"198",4,"raleigh"
"199",4,"profile"
"200",4,"a"
"201",4,"urban"
"202",4,"measures"
"203",4,"a"
"204",4,"organization"
"205",4,"chart"
"206",4,"a"
"207",4,"budget"
"208",4,"summary"
"209",4,"revenue"
"210",4,"expenditure"
"211",4,"summary"
"212",4,"b"
"213",4,"total"
"214",4,"budget"
"215",4,"summary"
"216",4,"b"
"217",4,"general"
"218",4,"fund"
"219",4,"summary"
"220",4,"b"
"221",4,"appropriations"
"222",4,"by"
"223",4,"fund"
"224",4,"b"
"225",4,"general"
"226",4,"fund"
"227",4,"appropriations"
"228",4,"by"
"229",4,"division"
"230",4,"b"
"231",4,"general"
"232",4,"fund"
"233",4,"appropriations"
"234",4,"by"
"235",4,"type"
"236",4,"b"
"237",4,"statement"
"238",4,"on"
"239",4,"fund"
"240",4,"balance"
"241",4,"b"
"242",4,"position"
"243",4,"summary"
"244",4,"b"
"245",4,"position"
"246",4,"count"
"247",4,"changes"
"248",4,"b"
"249",4,"position"
"250",4,"classification"
"251",4,"changes"
"252",4,"b"
"253",4,"revenue"
"254",4,"revenue"
"255",4,"summary"
"256",4,"c"
"257",4,"revenue"
"258",4,"estimates"
"259",4,"c"
"260",4,"tax"
"261",4,"values"
"262",4,"rates"
"263",4,"and"
"264",4,"collections"
"265",4,"c"
"266",4,"general"
"267",4,"government"
"268",4,"city"
"269",4,"council"
"270",4,"d"
"271",4,"city"
"272",4,"clerk"
"273",4,"d"
"274",4,"city"
"275",4,"attorney"
"276",4,"d"
"277",4,"city"
"278",4,"manager"
"279",4,"d"
"280",4,"agency"
"281",4,"appropriations"
"282",4,"d"
"283",4,"economic"
"284",4,"development"
"285",4,"fund"
"286",4,"d"
"287",4,"budget"
"288",4,"management"
"289",4,"services"
"290",4,"d"
"291",4,"finance"
"292",4,"d"
"293",4,"risk"
"294",4,"management"
"295",4,"fund"
"296",4,"d"
"297",4,"information"
"298",4,"technology"
"299",4,"d"
"300",4,"human"
"301",4,"resources"
"302",4,"d"
"303",4,"healthdental"
"304",4,"trust"
"305",4,"and"
"306",4,"opeb"
"307",4,"trust"
"308",4,"funds"
"309",4,"d"
"310",4,"public"
"311",4,"affairs"
"312",4,"d"
"313",4,"special"
"314",4,"appropriations"
"315",4,"d"
"316",5,"infrastructure"
"317",5,"and"
"318",5,"public"
"319",5,"services"
"320",5,"infrastructure"
"321",5,"services"
"322",5,"map"
"323",5,"e"
"324",5,"housing"
"325",5,"and"
"326",5,"neighborhoods"
"327",5,"e"
"328",5,"planning"
"329",5,"and"
"330",5,"development"
"331",5,"e"
"332",5,"capital"
"333",5,"area"
"334",5,"metropolitan"
"335",5,"planning"
"336",5,"organization"
"337",5,"e"
"338",5,"public"
"339",5,"works"
"340",5,"e"
"341",5,"parking"
"342",5,"facilities"
"343",5,"fund"
"344",5,"e"
"345",5,"stormwater"
"346",5,"utility"
"347",5,"fund"
"348",5,"e"
"349",5,"public"
"350",5,"transit"
"351",5,"fund"
"352",5,"e"
"353",5,"vehicle"
"354",5,"fleet"
"355",5,"services"
"356",5,"internal"
"357",5,"service"
"358",5,"fund"
"359",5,"e"
"360",5,"solid"
"361",5,"waste"
"362",5,"services"
"363",5,"fund"
"364",5,"e"
"365",5,"public"
"366",5,"safety"
"367",5,"public"
"368",5,"safety"
"369",5,"station"
"370",5,"map"
"371",5,"f"
"372",5,"emergency"
"373",5,"communications"
"374",5,"f"
"375",5,"emergency"
"376",5,"telephone"
"377",5,"system"
"378",5,"fund"
"379",5,"f"
"380",5,"fire"
"381",5,"f"
"382",5,"police"
"383",5,"f"
"384",5,"leisure"
"385",5,"services"
"386",5,"leisure"
"387",5,"services"
"388",5,"map"
"389",5,"g"
"390",5,"convention"
"391",5,"center"
"392",5,"complex"
"393",5,"fund"
"394",5,"g"
"395",5,"walnut"
"396",5,"creek"
