"","page_number","word"
"1",1,"fy"
"2",1,"fy"
"3",1,"strategic"
"4",1,"operating"
"5",1,"plan"
"6",1,"and"
"7",1,"fy"
"8",1,"fy"
"9",1,"community"
"10",1,"investment"
"11",1,"plan"
"12",2,"this"
"13",2,"page"
"14",2,"intentionally"
"15",2,"left"
"16",2,"blank"
"17",3,"fy"
"18",3,"fy"
"19",3,"strategic"
"20",3,"operating"
"21",3,"plan"
"22",3,"and"
"23",3,"fy"
"24",3,"fy"
"25",3,"community"
"26",3,"investment"
"27",3,"plan"
"28",3,"mayor"
"29",3,"dan"
"30",3,"clodfelter"
"31",3,"mayor"
"32",3,"pro"
"33",3,"tem"
"34",3,"michael"
"35",3,"d"
"36",3,"barnes"
"37",3,"city"
"38",3,"council"
"39",3,"al"
"40",3,"austin"
"41",3,"john"
"42",3,"autry"
"43",3,"ed"
"44",3,"driggs"
"45",3,"claire"
"46",3,"fallon"
"47",3,"david"
"48",3,"l"
"49",3,"howard"
"50",3,"patsy"
"51",3,"kinsey"
"52",3,"vi"
"53",3,"lyles"
"54",3,"lawana"
"55",3,"mayfield"
"56",3,"greg"
"57",3,"phipps"
"58",3,"kenny"
"59",3,"smith"
"60",5,"table"
"61",5,"of"
"62",5,"contents"
"63",5,"readers"
"64",5,"guide"
"65",5,"v"
"66",5,"budget"
"67",5,"process"
"68",5,"vi"
"69",5,"executive"
"70",5,"summary"
"71",5,"managers"
"72",5,"transmittal"
"73",5,"letter"
"74",5,"fyfy"
"75",5,"community"
"76",5,"investment"
"77",5,"plan"
"78",5,"resolution"
"79",5,"organizational"
"80",5,"chart"
"81",5,"executive"
"82",5,"summary"
"83",5,"city"
"84",5,"profile"
"85",5,"city"
"86",5,"strategy"
"87",5,"and"
"88",5,"operating"
"89",5,"budgets"
"90",5,"city"
"91",5,"strategy"
"92",5,"and"
"93",5,"operating"
"94",5,"budgets"
"95",5,"overview"
"96",5,"community"
"97",5,"safety"
"98",5,"focus"
"99",5,"area"
"100",5,"plan"
"101",5,"housing"
"102",5,"neighborhood"
"103",5,"development"
"104",5,"focus"
"105",5,"area"
"106",5,"plan"
"107",5,"environment"
"108",5,"focus"
"109",5,"area"
"110",5,"plan"
"111",5,"transportation"
"112",5,"planning"
"113",5,"focus"
"114",5,"area"
"115",5,"plan"
"116",5,"economic"
"117",5,"development"
"118",5,"global"
"119",5,"competitiveness"
"120",5,"focus"
"121",5,"area"
"122",5,"plan"
"123",5,"department"
"124",5,"operating"
"125",5,"budgets"
"126",5,"readers"
"127",5,"guide"
"128",5,"for"
"129",5,"department"
"130",5,"operating"
"131",5,"pages"
"132",5,"overview"
"133",5,"of"
"134",5,"department"
"135",5,"operating"
"136",5,"budgets"
"137",5,"general"
"138",5,"fund"
"139",5,"service"
"140",5,"departments"
"141",5,"general"
"142",5,"fund"
"143",5,"service"
"144",5,"departments"
"145",5,"overview"
"146",5,"police"
"147",5,"fire"
"148",5,"solid"
"149",5,"waste"
"150",5,"services"
"151",5,"transportation"
"152",5,"neighborhood"
"153",5,"business"
"154",5,"services"
"155",5,"engineering"
"156",5,"property"
"157",5,"management"
"158",5,"planning"
"159",5,"enterprise"
"160",5,"service"
"161",5,"departments"
"162",5,"enterprise"
"163",5,"service"
"164",5,"departments"
"165",5,"overview"
"166",5,"aviation"
"167",5,"charlotte"
"168",5,"area"
"169",5,"transit"
"170",5,"system"
"171",5,"charlotte"
"172",5,"water"
"173",5,"storm"
"174",5,"water"
"175",5,"services"
"176",5,"risk"
"177",5,"management"
"178",5,"governance"
"179",5,"departments"
"180",5,"governance"
"181",5,"departments"
"182",5,"overview"
"183",5,"mayor"
"184",5,"city"
"185",5,"council"
"186",5,"city"
"187",5,"attorney"
"188",5,"city"
"189",5,"clerk"
"190",5,"city"
"191",5,"manager"
"192",5,"support"
"193",5,"departments"
"194",5,"support"
"195",5,"departments"
"196",5,"overview"
"197",5,"human"
"198",5,"resources"
"199",5,"innovation"
"200",5,"technology"
"201",5,"management"
"202",5,"financial"
"203",5,"services"
"204",5,"other"
"205",5,"operating"
"206",5,"budgets"
"207",5,"other"
"208",5,"operating"
"209",5,"overview"
"210",5,"nondepartmental"
"211",5,"accounts"
"212",5,"financial"
"213",5,"partners"
"214",5,"summary"
"215",5,"summary"
"216",5,"statistics"
"217",5,"and"
"218",5,"schedules"
"219",5,"listing"
"220",5,"of"
"221",5,"schedules"
"222",5,"fund"
"223",5,"descriptions"
