"","page_number","word"
"1",1,"raleighncgov"
"2",1,"city"
"3",1,"of"
"4",1,"raleigh"
"5",1,"adopted"
"6",1,"budget"
"7",1,"fy"
"8",1,"the"
"9",1,"city"
"10",1,"of"
"11",1,"raleigh"
"12",2,"annual"
"13",2,"budget"
"14",2,"city"
"15",2,"of"
"16",2,"raleigh"
"17",2,"north"
"18",2,"carolina"
"19",2,"fiscal"
"20",2,"year"
"21",2,"beginning"
"22",2,"july"
"23",2,"recommended"
"24",2,"to"
"25",2,"the"
"26",2,"city"
"27",2,"council"
"28",2,"by"
"29",2,"the"
"30",2,"city"
"31",2,"manager"
"32",2,"may"
"33",2,"adopted"
"34",2,"by"
"35",2,"the"
"36",2,"city"
"37",2,"council"
"38",2,"june"
"39",2,"the"
"40",2,"city"
"41",2,"council"
"42",2,"nancy"
"43",2,"mcfarlane"
"44",2,"mayor"
"45",2,"kay"
"46",2,"crowder"
"47",2,"mayor"
"48",2,"pro"
"49",2,"tem"
"50",2,"maryann"
"51",2,"baldwin"
"52",2,"corey"
"53",2,"d"
"54",2,"branch"
"55",2,"david"
"56",2,"n"
"57",2,"cox"
"58",2,"bonner"
"59",2,"gaylord"
"60",2,"russ"
"61",2,"stephenson"
"62",2,"richard"
"63",2,"a"
"64",2,"dickie"
"65",2,"thompson"
"66",2,"executive"
"67",2,"staff"
"68",2,"ruffin"
"69",2,"l"
"70",2,"hall"
"71",2,"city"
"72",2,"manager"
"73",2,"marchell"
"74",2,"adams"
"75",2,"david"
"76",2,"assistant"
"77",2,"city"
"78",2,"manager"
"79",2,"james"
"80",2,"s"
"81",2,"greene"
"82",2,"jr"
"83",2,"assistant"
"84",2,"city"
"85",2,"manager"
"86",2,"tansy"
"87",2,"hayward"
"88",2,"assistant"
"89",2,"city"
"90",2,"manager"
"91",2,"louis"
"92",2,"buonpane"
"93",2,"chief"
"94",2,"of"
"95",2,"staff"
"96",2,"perry"
"97",2,"e"
"98",2,"james"
"99",2,"iii"
"100",2,"chief"
"101",2,"financial"
"102",2,"officer"
"103",2,"ben"
"104",2,"canada"
"105",2,"interim"
"106",2,"budget"
"107",2,"management"
"108",2,"services"
"109",2,"director"
"110",2,"monica"
"111",2,"chaparro"
"112",2,"strategic"
"113",2,"planning"
"114",2,"and"
"115",2,"performance"
"116",2,"manager"
"117",2,"kirsten"
"118",2,"larson"
"119",2,"grants"
"120",2,"program"
"121",2,"administrative"
"122",2,"manager"
"123",2,"amber"
"124",2,"smith"
"125",2,"operating"
"126",2,"budget"
"127",2,"manager"
"128",2,"bo"
"129",2,"gattis"
"130",2,"budget"
"131",2,"analyst"
"132",2,"dana"
"133",2,"gillooly"
"134",2,"budget"
"135",2,"analyst"
"136",2,"clayton"
"137",2,"hainline"
"138",2,"budget"
"139",2,"analyst"
"140",2,"tonya"
"141",2,"walton"
"142",2,"budget"
"143",2,"analyst"
"144",3,"the"
"145",3,"following"
"146",3,"individuals"
"147",3,"whose"
"148",3,"assistance"
"149",3,"and"
"150",3,"contributions"
"151",3,"to"
"152",3,"the"
"153",3,"annual"
"154",3,"budget"
"155",3,"development"
"156",3,"process"
"157",3,"are"
"158",3,"immeasurable"
"159",3,"are"
"160",3,"hereby"
"161",3,"acknowledged"
"162",3,"damien"
"163",3,"graham"
"164",3,"communications"
"165",3,"director"
"166",3,"steve"
"167",3,"jones"
"168",3,"human"
"169",3,"resources"
"170",3,"director"
"171",3,"allison"
"172",3,"bradsher"
"173",3,"assistant"
"174",3,"financial"
"175",3,"officer"
"176",3,"jennifer"
"177",3,"stevens"
"178",3,"management"
"179",3,"accounting"
"180",3,"services"
"181",3,"manager"
"182",3,"matthew"
"183",3,"currier"
"184",3,"management"
"185",3,"accountant"
"186",3,"tyrone"
"187",3,"williamson"
"188",3,"management"
"189",3,"accountant"
"190",3,"cover"
"191",3,"design"
"192",3,"by"
"193",3,"eric"
"194",3,"bannister"
"195",3,"communications"
"196",3,"department"
"197",4,"table"
"198",4,"of"
"199",4,"contents"
"200",4,"introduction"
"201",4,"adopted"
"202",4,"budget"
"203",4,"message"
"204",4,"a"
"205",4,"proposed"
"206",4,"budget"
"207",4,"message"
"208",4,"a"
"209",4,"readers"
"210",4,"guide"
"211",4,"a"
"212",4,"budget"
"213",4,"and"
"214",4,"fiscal"
"215",4,"framework"
"216",4,"a"
"217",4,"financial"
"218",4,"policies"
"219",4,"a"
"220",4,"budget"
"221",4,"guide"
"222",4,"a"
"223",4,"city"
"224",4,"council"
"225",4,"information"
"226",4,"a"
"227",4,"city"
"228",4,"of"
"229",4,"raleigh"
"230",4,"six"
"231",4,"key"
"232",4,"focus"
"233",4,"areas"
"234",4,"a"
"235",4,"profile"
"236",4,"of"
"237",4,"city"
"238",4,"of"
"239",4,"raleigh"
"240",4,"a"
"241",4,"urban"
"242",4,"measures"
"243",4,"a"
"244",4,"organization"
"245",4,"chart"
"246",4,"a"
"247",4,"budget"
"248",4,"summary"
"249",4,"revenue"
"250",4,"expenditure"
"251",4,"summary"
"252",4,"b"
"253",4,"total"
"254",4,"budget"
"255",4,"summary"
"256",4,"b"
"257",4,"general"
"258",4,"fund"
"259",4,"summary"
"260",4,"b"
"261",4,"appropriations"
"262",4,"by"
"263",4,"fund"
"264",4,"b"
