"","page_number","word"
"1",1,"city"
"2",1,"of"
"3",1,"durham"
"4",1,"city"
"5",1,"managers"
"6",1,"office"
"7",1,"city"
"8",1,"hall"
"9",1,"plaza"
"10",1,"nd"
"11",1,"floor"
"12",1,"durham"
"13",1,"nc"
"14",1,"f"
"15",1,"wwwdurhamncgov"
"16",1,"june"
"17",1,"mayor"
"18",1,"bell"
"19",1,"and"
"20",1,"members"
"21",1,"of"
"22",1,"the"
"23",1,"durham"
"24",1,"city"
"25",1,"council"
"26",1,"i"
"27",1,"am"
"28",1,"pleased"
"29",1,"to"
"30",1,"present"
"31",1,"the"
"32",1,"fiscal"
"33",1,"year"
"34",1,"budget"
"35",1,"this"
"36",1,"budget"
"37",1,"represents"
"38",1,"a"
"39",1,"significant"
"40",1,"effort"
"41",1,"towards"
"42",1,"accomplishing"
"43",1,"many"
"44",1,"of"
"45",1,"the"
"46",1,"initiatives"
"47",1,"identified"
"48",1,"in"
"49",1,"the"
"50",1,"citys"
"51",1,"strategic"
"52",1,"plan"
"53",1,"and"
"54",1,"capital"
"55",1,"improvement"
"56",1,"plan"
"57",1,"cip"
"58",1,"it"
"59",1,"is"
"60",1,"the"
"61",1,"result"
"62",1,"of"
"63",1,"a"
"64",1,"series"
"65",1,"of"
"66",1,"reviews"
"67",1,"and"
"68",1,"decisions"
"69",1,"that"
"70",1,"focus"
"71",1,"on"
"72",1,"where"
"73",1,"we"
"74",1,"have"
"75",1,"been"
"76",1,"where"
"77",1,"we"
"78",1,"are"
"79",1,"and"
"80",1,"where"
"81",1,"we"
"82",1,"want"
"83",1,"to"
"84",1,"be"
"85",1,"in"
"86",1,"the"
"87",1,"next"
"88",1,"five"
"89",1,"to"
"90",1,"ten"
"91",1,"years"
"92",1,"it"
"93",1,"thoughtfully"
"94",1,"places"
"95",1,"us"
"96",1,"on"
"97",1,"the"
"98",1,"path"
"99",1,"to"
"100",1,"achieving"
"101",1,"our"
"102",1,"strategic"
"103",1,"plan"
"104",1,"goals"
"105",1,"the"
"106",1,"organization"
"107",1,"has"
"108",1,"developed"
"109",1,"a"
"110",1,"track"
"111",1,"record"
"112",1,"of"
"113",1,"open"
"114",1,"and"
"115",1,"honest"
"116",1,"dialogue"
"117",1,"transparent"
"118",1,"decision"
"119",1,"making"
"120",1,"with"
"121",1,"a"
"122",1,"clear"
"123",1,"strategic"
"124",1,"vision"
"125",1,"the"
"126",1,"budget"
"127",1,"continues"
"128",1,"investment"
"129",1,"in"
"130",1,"city"
"131",1,"infrastructure"
"132",1,"and"
"133",1,"maintains"
"134",1,"strong"
"135",1,"city"
"136",1,"services"
"137",1,"for"
"138",1,"a"
"139",1,"diverse"
"140",1,"and"
"141",1,"vibrant"
"142",1,"community"
"143",1,"as"
"144",1,"described"
"145",1,"the"
"146",1,"fy"
"147",1,"budget"
"148",1,"supports"
"149",1,"much"
"150",1,"for"
"151",1,"which"
"152",1,"our"
"153",1,"durham"
"154",1,"community"
"155",1,"can"
"156",1,"be"
"157",1,"proud"
"158",1,"a"
"159",1,"growing"
"160",1,"economy"
"161",1,"quality"
"162",1,"services"
"163",1,"responsive"
"164",1,"police"
"165",1,"fire"
"166",1,"and"
"167",1,"emergency"
"168",1,"services"
"169",1,"the"
"170",1,"city"
"171",1,"continues"
"172",1,"to"
"173",1,"invest"
"174",1,"in"
"175",1,"the"
"176",1,"priorities"
"177",1,"of"
"178",1,"the"
"179",1,"community"
"180",1,"including"
"181",1,"parks"
"182",1,"and"
"183",1,"trails"
"184",1,"streets"
"185",1,"and"
"186",1,"sidewalks"
"187",1,"the"
"188",1,"investments"
"189",1,"made"
"190",1,"today"
"191",1,"will"
"192",1,"be"
"193",1,"expected"
"194",1,"to"
"195",1,"pay"
"196",1,"dividends"
"197",1,"through"
"198",1,"increased"
"199",1,"economic"
"200",1,"growth"
"201",1,"to"
"202",1,"support"
"203",1,"the"
"204",1,"citys"
"205",1,"vision"
"206",1,"to"
"207",1,"be"
"208",1,"the"
"209",1,"leading"
"210",1,"city"
"211",1,"in"
"212",1,"providing"
"213",1,"an"
"214",1,"excellent"
"215",1,"and"
"216",1,"sustainable"
"217",1,"quality"
"218",1,"of"
"219",1,"life"
"220",1,"to"
"221",1,"accomplish"
"222",1,"this"
"223",1,"we"
"224",1,"need"
"225",1,"to"
"226",1,"collaborate"
"227",1,"with"
"228",1,"our"
"229",1,"community"
"230",1,"partners"
"231",1,"to"
"232",1,"support"
"233",1,"a"
"234",1,"safe"
"235",1,"community"
"236",1,"in"
"237",1,"which"
"238",1,"residents"
"239",1,"and"
"240",1,"businesses"
"241",1,"can"
"242",1,"thrive"
"243",1,"economic"
"244",1,"opportunities"
"245",1,"to"
"246",1,"provide"
"247",1,"resources"
"248",1,"and"
"249",1,"quality"
"250",1,"of"
"251",1,"life"
"252",1,"for"
"253",1,"our"
"254",1,"growing"
"255",1,"community"
"256",1,"underlying"
"257",1,"all"
"258",1,"of"
"259",1,"this"
"260",1,"is"
"261",1,"a"
"262",1,"commitment"
"263",1,"across"
"264",1,"the"
"265",1,"organization"
"266",1,"to"
"267",1,"foster"
"268",1,"a"
"269",1,"culture"
"270",1,"of"
"271",1,"innovation"
"272",1,"to"
"273",1,"address"
"274",1,"organizational"
"275",1,"and"
"276",1,"community"
"277",1,"issues"
"278",1,"we"
"279",1,"will"
"280",1,"undoubtedly"
"281",1,"be"
"282",1,"continually"
"283",1,"challenged"
"284",1,"however"
"285",1,"as"
"286",1,"a"
"287",1,"community"
"288",1,"we"
"289",1,"will"
"290",1,"face"
"291",1,"those"
"292",1,"challenges"
"293",1,"together"
"294",1,"and"
"295",1,"emerge"
"296",1,"a"
"297",1,"stronger"
"298",1,"and"
"299",1,"more"
"300",1,"unified"
"301",1,"city"
"302",1,"durham"
"303",1,"has"
"304",1,"an"
"305",1,"outstanding"
"306",1,"reputation"
"307",1,"for"
"308",1,"citizen"
"309",1,"participation"
"310",1,"in"
"311",1,"the"
"312",1,"budget"
"313",1,"process"
"314",1,"and"
"315",1,"has"
"316",1,"been"
"317",1,"nationally"
"318",1,"recognized"
"319",1,"during"
"320",1,"this"
"321",1,"years"
"322",1,"budget"
"323",1,"development"
"324",1,"process"
"325",1,"the"
"326",1,"city"
"327",1,"council"
"328",1,"attended"
"329",1,"five"
"330",1,"coffees"
"331",1,"with"
"332",1,"council"
"333",1,"to"
"334",1,"gather"
"335",1,"input"
"336",1,"on"
"337",1,"the"
"338",1,"development"
"339",1,"of"
"340",1,"the"
"341",1,"upcoming"
"342",1,"years"
"343",1,"budget"
"344",1,"and"
"345",1,"capital"
"346",1,"improvement"
"347",1,"plan"
"348",1,"cip"
"349",1,"two"
"350",1,"public"
"351",1,"hearings"
"352",1,"were"
"353",1,"also"
"354",1,"held"
"355",1,"to"
"356",1,"receive"
"357",1,"comments"
"358",1,"from"
"359",1,"residents"
"360",1,"the"
"361",1,"first"
"362",1,"to"
"363",1,"receive"
"364",1,"input"
"365",1,"on"
"366",1,"priorities"
"367",1,"for"
"368",1,"the"
"369",1,"upcoming"
"370",1,"year"
"371",1,"was"
"372",1,"held"
"373",1,"on"
"374",1,"march"
"375",1,"nd"
"376",1,"the"
"377",1,"second"
"378",1,"public"
"379",1,"hearing"
"380",1,"was"
"381",1,"held"
"382",1,"on"
"383",1,"june"
"384",1,"st"
"385",1,"in"
"386",1,"conjunction"
"387",1,"with"
"388",1,"our"
"389",1,"annual"
"390",1,"etown"
"391",1,"hall"
"392",1,"this"
"393",1,"event"
"394",1,"was"
"395",1,"moderated"
"396",1,"by"
"397",1,"ken"
"398",1,"smith"
"399",1,"the"
"400",1,"reporteranchor"
"401",1,"at"
"402",1,"wral"
"403",1,"similar"
"404",1,"to"
"405",1,"last"
"406",1,"year"
"407",1,"residents"
"408",1,"had"
"409",1,"an"
