"","page_number","word","sent_count","sentiment","category"
"1",5,"Budget",31,"Trust","Emotion"
"2",206,"Sewer",23,"Disgust","Emotion"
"3",208,"Budget",22,"Trust","Emotion"
"4",30,"Increase",17,"Positive","Sentiment"
"5",153,"Grant",17,"Anticipation","Emotion"
"6",153,"Grant",17,"Joy","Emotion"
"7",153,"Grant",17,"Positive","Sentiment"
"8",153,"Grant",17,"Trust","Emotion"
"9",59,"Fire",16,"Fear","Emotion"
"10",155,"Grant",16,"Anticipation","Emotion"
"11",155,"Grant",16,"Joy","Emotion"
"12",155,"Grant",16,"Positive","Sentiment"
"13",155,"Grant",16,"Trust","Emotion"
"14",68,"Neighborhood",15,"Anticipation","Emotion"
"15",171,"Debt",15,"Negative","Sentiment"
"16",171,"Debt",15,"Sadness","Emotion"
"17",208,"Council",15,"Anticipation","Emotion"
"18",208,"Council",15,"Positive","Sentiment"
"19",208,"Council",15,"Trust","Emotion"
"20",61,"Fire",14,"Fear","Emotion"
"21",157,"Grant",14,"Anticipation","Emotion"
"22",157,"Grant",14,"Joy","Emotion"
"23",157,"Grant",14,"Positive","Sentiment"
"24",157,"Grant",14,"Trust","Emotion"
"25",5,"Council",13,"Anticipation","Emotion"
"26",5,"Council",13,"Positive","Sentiment"
"27",5,"Council",13,"Trust","Emotion"
"28",14,"Budget",13,"Trust","Emotion"
"29",97,"Budget",13,"Trust","Emotion"
"30",3,"Plan",12,"Anticipation","Emotion"
"31",17,"Budget",12,"Trust","Emotion"
"32",20,"Increase",12,"Positive","Sentiment"
"33",33,"Center",12,"Positive","Sentiment"
"34",33,"Center",12,"Trust","Emotion"
"35",41,"Crime",12,"Anger","Emotion"
"36",41,"Crime",12,"Negative","Sentiment"
"37",118,"Budget",12,"Trust","Emotion"
"38",196,"Bonds",12,"Negative","Sentiment"
"39",210,"Budget",12,"Trust","Emotion"
"40",14,"Community",11,"Positive","Sentiment"
"41",57,"Budget",11,"Trust","Emotion"
"42",60,"Fire",11,"Fear","Emotion"
"43",93,"Council",11,"Anticipation","Emotion"
"44",93,"Council",11,"Positive","Sentiment"
"45",93,"Council",11,"Trust","Emotion"
"46",198,"Storm",11,"Anger","Emotion"
"47",198,"Storm",11,"Negative","Sentiment"
