"","page_number","word"
"1",1,"fy"
"2",1,"budget"
"3",1,"fy"
"4",1,"community"
"5",1,"investment"
"6",1,"plan"
"7",2,"this"
"8",2,"page"
"9",2,"intentionally"
"10",2,"left"
"11",2,"blank"
"12",3,"mayor"
"13",3,"vi"
"14",3,"lyles"
"15",3,"mayor"
"16",3,"pro"
"17",3,"tem"
"18",3,"julie"
"19",3,"eiselt"
"20",3,"city"
"21",3,"council"
"22",3,"dimple"
"23",3,"ajmera"
"24",3,"tariq"
"25",3,"scott"
"26",3,"bokhari"
"27",3,"ed"
"28",3,"driggs"
"29",3,"fy"
"30",3,"budget"
"31",3,"larken"
"32",3,"egleston"
"33",3,"dr"
"34",3,"justin"
"35",3,"harlow"
"36",3,"lawana"
"37",3,"mayfield"
"38",3,"james"
"39",3,"mitchell"
"40",3,"jr"
"41",3,"matt"
"42",3,"newton"
"43",3,"gregory"
"44",3,"a"
"45",3,"phipps"
"46",3,"braxton"
"47",3,"winston"
"48",3,"ii"
"49",3,"city"
"50",3,"manager"
"51",3,"fy"
"52",3,"marcus"
"53",3,"d"
"54",3,"jones"
"55",3,"community"
"56",3,"investment"
"57",3,"plan"
"58",5,"july"
"59",5,"honorable"
"60",5,"mayor"
"61",5,"and"
"62",5,"city"
"63",5,"council"
"64",5,"city"
"65",5,"of"
"66",5,"charlotte"
"67",5,"north"
"68",5,"carolina"
"69",5,"i"
"70",5,"respectfully"
"71",5,"submit"
"72",5,"to"
"73",5,"you"
"74",5,"the"
"75",5,"adopted"
"76",5,"fiscal"
"77",5,"year"
"78",5,"fy"
"79",5,"budget"
"80",5,"and"
"81",5,"fy"
"82",5,"community"
"83",5,"investment"
"84",5,"plan"
"85",5,"cip"
"86",5,"for"
"87",5,"the"
"88",5,"city"
"89",5,"of"
"90",5,"charlotte"
"91",5,"discussions"
"92",5,"and"
"93",5,"feedback"
"94",5,"provided"
"95",5,"during"
"96",5,"six"
"97",5,"community"
"98",5,"engagement"
"99",5,"events"
"100",5,"three"
"101",5,"budget"
"102",5,"committee"
"103",5,"meetings"
"104",5,"three"
"105",5,"budget"
"106",5,"workshops"
"107",5,"the"
"108",5,"budget"
"109",5,"public"
"110",5,"hearing"
"111",5,"and"
"112",5,"three"
"113",5,"budget"
"114",5,"deliberation"
"115",5,"and"
"116",5,"preliminary"
"117",5,"vote"
"118",5,"meetings"
"119",5,"resulted"
"120",5,"in"
"121",5,"proposed"
"122",5,"adjustments"
"123",5,"to"
"124",5,"the"
"125",5,"proposed"
"126",5,"fy"
"127",5,"budget"
"128",5,"ten"
"129",5,"of"
"130",5,"the"
"131",5,"proposed"
"132",5,"adjustments"
"133",5,"totaling"
"134",5,"were"
"135",5,"adopted"
"136",5,"during"
"137",5,"the"
"138",5,"preliminary"
"139",5,"vote"
"140",5,"meeting"
"141",5,"on"
"142",5,"june"
"143",5,"the"
"144",5,"adjustments"
"145",5,"impact"
"146",5,"the"
"147",5,"general"
"148",5,"fund"
"149",5,"and"
"150",5,"the"
"151",5,"cip"
"152",5,"a"
"153",5,"summary"
"154",5,"of"
"155",5,"the"
"156",5,"adopted"
"157",5,"budget"
"158",5,"is"
"159",5,"outlined"
"160",5,"in"
"161",5,"the"
"162",5,"following"
"163",5,"table"
"164",5,"proposed"
"165",5,"fy"
"166",5,"budget"
"167",5,"general"
"168",5,"fund"
"169",5,"transfers"
"170",5,"to"
"171",5,"other"
"172",5,"funds"
"173",5,"subtotal"
"174",5,"general"
"175",5,"fund"
"176",5,"enterprise"
"177",5,"funds"
"178",5,"aviation"
"179",5,"charlotte"
"180",5,"area"
"181",5,"transit"
"182",5,"system"
"183",5,"cats"
"184",5,"charlotte"
"185",5,"water"
"186",5,"storm"
"187",5,"water"
"188",5,"subtotal"
"189",5,"enterprise"
"190",5,"funds"
"191",5,"capital"
"192",5,"investments"
"193",5,"general"
"194",5,"capital"
"195",5,"debt"
"196",5,"service"
"197",5,"general"
"198",5,"community"
"199",5,"investment"
"200",5,"plan"
"201",5,"subtotal"
"202",5,"capital"
"203",5,"investments"
"204",5,"special"
"205",5,"revenue"
"206",5,"funds"
"207",5,"total"
"208",5,"all"
"209",5,"funds"
"210",5,"the"
"211",5,"adopted"
"212",5,"fy"
"213",5,"budget"
"214",5,"addresses"
"215",5,"some"
"216",5,"of"
"217",5,"the"
"218",5,"communitys"
"219",5,"most"
"220",5,"pressing"
"221",5,"needs"
"222",5,"focuses"
"223",5,"on"
"224",5,"supporting"
"225",5,"the"
"226",5,"development"
"227",5,"of"
"228",5,"vibrant"
"229",5,"and"
"230",5,"strong"
"231",5,"neighborhoods"
"232",5,"improves"
"233",5,"recruitment"
"234",5,"and"
